Text,Sentiment
@nichegamer https://t.co/OtHRWEbDeq,"0.30000001192092896, 0.30000001192092896"
@Helloimmorgan What gave it away!?,"-0.5, 0.5"
@InsideEVs Thanks on behalf of Tesla,"0.0, 0.0"
"@kimpaquette Unfortunately, yes","-0.5, 0.5"
@EvaFoxU “A culture of corruption” – his words,"-0.800000011920929, 0.800000011920929"
@EvaFoxU https://t.co/xtiaBEY9Rw,"0.30000001192092896, 0.30000001192092896"
"@KingManninen Nope, T is def first","0.30000001192092896, 0.30000001192092896"
@ray4tesla “Tesla Hertz Shorts”,"0.10000000149011612, 0.10000000149011612"
"RT @SpaceX: Falcon 9 and Dragon are looking good for Sunday morning’s launch. Weather forecast is 80% favorable for liftoff, while teams ar…","0.6000000238418579, 1.2000000476837158"
Universally admired,"0.8999999761581421, 0.8999999761581421"
@stevenmarkryan Obv,"0.30000001192092896, 0.30000001192092896"
@nichegamer That would rock,"0.800000011920929, 0.800000011920929"
It will have epic merch,"0.800000011920929, 0.800000011920929"
"Am thinking of starting new university:
Texas Institute of Technology &amp; Science","0.10000000149011612, 0.10000000149011612"
@Rainmaker1973 We are so fluffy compared to a neutron star,"0.6000000238418579, 0.6000000238418579"
@billhuang688 @daelmor 🤣,"0.4000000059604645, 0.4000000059604645"
@SawyerMerritt We basically stole our product roadmap from Spaceballs,"-0.699999988079071, 0.699999988079071"
@cnunezimages @SpaceX @SpaceIntellige3 Gateway to Mars,"0.0, 0.0"
@BillyM2k 💯,"0.5, 0.5"
@teslaownersSV @Teslarati @ResidentSponge Tesla always pays its debts,"0.20000000298023224, 0.20000000298023224"
@Rainmaker1973 Cover story for Godzilla obv,"0.0, 0.0"
"@TheBabylonBee “Tax experts said they're not sure if claiming unrealized donations is legal, but admitted it's all very confusing, as the government is printing fake money and taxing nonexistent profits and nothing is real anymore.” 🤣🤣","-0.30000001192092896, 1.0"
@atNickVega @CNBCMakeIt Thanks for your support over the year @jayleno!,"0.8999999761581421, 0.8999999761581421"
@ecommerceshares The cemetery of automotive startups over the past century is very large &amp; will get larger. Tesla &amp; Ford are the only American car companies that haven’t gone bankrupt.,"0.0, 0.30000001192092896"
